Py(10px),Py(10px) 2,Py(10px) 3,Py(10px) 4,Py(10px) 5,Py(10px) 7
"Sep 25, 2021",0.209358,0.212441,0.205112,0.208261,"1,239,371,776"
"Sep 24, 2021",0.224726,0.228267,0.197720,0.209451,"1,883,155,313"
"Sep 23, 2021",0.224748,0.227095,0.218115,0.224832,"1,169,581,249"
"Sep 22, 2021",0.200822,0.229423,0.200224,0.224858,"2,016,471,206"
"Sep 21, 2021",0.208773,0.218094,0.198161,0.201027,"1,766,963,639"
"Sep 20, 2021",0.233161,0.233606,0.200022,0.207071,"2,244,003,542"
"Sep 19, 2021",0.241281,0.241285,0.231337,0.233142,"892,763,953"
"Sep 18, 2021",0.239928,0.247328,0.238228,0.241386,"999,151,515"
"Sep 17, 2021",0.242098,0.259535,0.238026,0.239930,"2,246,768,047"
"Sep 16, 2021",0.247542,0.247733,0.233852,0.242555,"1,140,048,496"
"Sep 15, 2021",0.240590,0.248322,0.239215,0.247697,"980,188,820"
"Sep 14, 2021",0.236063,0.241678,0.233962,0.240709,"967,948,743"
"Sep 13, 2021",0.250624,0.252031,0.228911,0.235906,"1,759,116,002"
"Sep 12, 2021",0.241329,0.254794,0.239233,0.250617,"1,419,288,866"
"Sep 11, 2021",0.239826,0.248018,0.238487,0.241432,"1,196,337,689"
"Sep 10, 2021",0.252585,0.261622,0.235909,0.239982,"1,840,815,800"
"Sep 09, 2021",0.250362,0.259558,0.249270,0.252596,"1,763,183,557"
"Sep 08, 2021",0.254266,0.263290,0.234864,0.257113,"3,226,346,052"
"Sep 07, 2021",0.308951,0.311030,0.216527,0.253744,"5,653,327,525"
"Sep 06, 2021",0.314315,0.319751,0.300451,0.308765,"2,611,846,129"
"Sep 05, 2021",0.299324,0.315009,0.296582,0.314527,"2,393,033,527"
"Sep 04, 2021",0.296068,0.308731,0.293342,0.299388,"2,263,193,245"
"Sep 03, 2021",0.294754,0.304494,0.288541,0.296273,"2,384,046,931"
"Sep 02, 2021",0.294393,0.309227,0.292010,0.295955,"2,981,069,411"
"Sep 01, 2021",0.278062,0.294889,0.273526,0.294401,"1,937,809,622"
"Aug 31, 2021",0.271878,0.285819,0.270047,0.278453,"1,745,967,018"
